year,segment,total,income,growth
Jun-19,Calgary,591.1,348.7,170.1
Jun-19,Montreal,517.9,334.4,155.2
Jun-19,Toronto,624.2,319.2,196.2
Jun-19,Vancouver,767.3,316.5,243.4
Jun-19,Edmonton,697.9,371.5,188.6
Jun-19,Ottawa,584.2,355.9,164.7
Sep-19,All,598.0,331.1,181.1
Sep-19,Retail,643.4,321.2,201.1
Sep-19,Office,571.2,344.0,166.5
Sep-19,Industrial,619.9,365.9,169.9
Sep-19,Residential,562.8,283.9,198.8
Sep-19,Calgary,581.2,346.3,168.4
Sep-19,Montreal,505.9,330.1,153.6
Sep-19,Toronto,618.3,316.2,196.1
Sep-19,Vancouver,765.8,313.7,245.1
Sep-19,Edmonton,678.3,368.2,184.9
Sep-19,Ottawa,568.8,352.7,161.7
Dec-19,All,659.3,356.2,185.7
Dec-19,Retail,695.2,345.7,201.9
Dec-19,Office,628.5,370.0,170.3
Dec-19,Industrial,712.1,395.9,180.5
Dec-19,Residential,635.2,303.3,210.1
Dec-19,Calgary,609.6,372.5,164.2
Dec-19,Montreal,563.8,358.4,157.7
Dec-19,Toronto,688.9,338.8,204.0
Dec-19,Vancouver,838.7,336.5,250.3
Dec-19,Edmonton,716.6,396.4,181.5
Dec-19,Ottawa,662.1,380.4,174.6
Mar-20,All,641.6,352.8,182.5
Mar-20,Retail,663.8,342.1,194.7
Mar-20,Office,614.8,366.9,168.0
Mar-20,Industrial,710.0,391.4,182.0
Mar-20,Residential,628.6,300.5,209.9
Mar-20,Calgary,578.1,370.2,156.6
Mar-20,Montreal,543.3,353.7,154.0
Mar-20,Toronto,681.6,335.5,203.8
Mar-20,Vancouver,813.5,333.2,245.2
Mar-20,Edmonton,704.3,393.7,179.5
Mar-20,Ottawa,626.7,376.4,167.0
Jun-20,All,617.1,349.0,177.4
Jun-20,Retail,622.5,338.0,184.8
Jun-20,Office,597.5,363.7,164.7
Jun-20,Industrial,692.2,386.8,179.5
Jun-20,Residential,623.1,297.6,210.1
Jun-20,Calgary,549.7,367.4,150.0
Jun-20,Montreal,524.4,348.5,150.8
Jun-20,Toronto,659.4,332.0,199.2
Jun-20,Vancouver,796.0,329.6,242.5
Jun-20,Edmonton,674.4,390.4,173.4
Jun-20,Ottawa,599.3,372.8,161.2
Sep-20,All,595.2,345.1,173.0
Sep-20,Retail,581.1,333.5,174.8
Sep-20,Office,582.6,360.3,162.1
Sep-20,Industrial,696.0,382.7,182.4
Sep-20,Residential,611.7,294.2,208.6
Sep-20,Calgary,524.8,365.0,144.1
Sep-20,Montreal,508.7,342.9,148.7
Sep-20,Toronto,639.7,328.4,195.4
Sep-20,Vancouver,786.5,326.3,242.0
Sep-20,Edmonton,631.4,386.5,163.9
Sep-20,Ottawa,579.0,369.0,157.3
Dec-20,All,632.6,370.3,171.4
Dec-20,Retail,589.4,356.7,165.8
Dec-20,Office,618.9,387.4,160.2
Dec-20,Industrial,801.4,413.8,194.3
Dec-20,Residential,671.8,313.9,214.7
Dec-20,Calgary,534.1,391.9,136.6
Dec-20,Montreal,541.1,371.0,146.2
Dec-20,Toronto,684.2,350.9,195.6
Dec-20,Vancouver,821.9,349.3,236.2
Dec-20,Edmonton,654.9,415.5,158.1
Dec-20,Ottawa,666.1,396.9,168.4
Mar-21,All,624.8,366.5,171.0
Mar-21,Retail,582.5,352.8,165.7
Mar-21,Office,607.1,384.1,158.5
Mar-21,Industrial,805.4,409.0,197.6
Mar-21,Residential,660.3,310.6,213.3
Mar-21,Calgary,528.1,390.0,135.7
Mar-21,Montreal,534.9,365.8,146.5
Mar-21,Toronto,677.6,347.2,195.8
Mar-21,Vancouver,814.7,346.1,236.4
Mar-21,Edmonton,652.2,413.3,158.3
Mar-21,Ottawa,629.8,392.2,161.1
Jun-21,All,621.4,362.7,171.8
Jun-21,Retail,573.0,348.9,164.8
Jun-21,Office,596.5,380.7,157.1
Jun-21,Industrial,839.7,404.0,208.6
Jun-21,Residential,655.1,307.1,214.0
Jun-21,Calgary,514.0,387.6,132.9
Jun-21,Montreal,531.6,360.4,147.8
Jun-21,Toronto,676.9,343.6,197.7
Jun-21,Vancouver,822.9,342.6,241.2
Jun-21,Edmonton,646.3,410.8,157.8
Jun-21,Ottawa,616.4,388.0,159.3
Sep-21,All,613.6,359.0,171.4
Sep-21,Retail,557.5,345.6,161.8
Sep-21,Office,588.0,377.3,156.2
Sep-21,Industrial,863.5,399.2,217.2
Sep-21,Residential,645.1,303.4,213.3
Sep-21,Calgary,507.6,385.2,132.0
Sep-21,Montreal,520.2,355.1,146.8
Sep-21,Toronto,672.3,340.1,198.3
Sep-21,Vancouver,828.2,339.6,244.9
Sep-21,Edmonton,631.2,407.1,155.5
Sep-21,Ottawa,600.5,384.1,156.7
Dec-21,All,683.4,386.0,177.6
Dec-21,Retail,606.3,372.2,163.4
Dec-21,Office,634.3,405.6,156.8
Dec-21,Industrial,"1,058.7",431.1,246.6
Dec-21,Residential,720.5,323.7,223.4
Dec-21,Calgary,527.7,415.1,127.4
Dec-21,Montreal,583.9,385.2,151.9
Dec-21,Toronto,759.0,364.0,209.2
Dec-21,Vancouver,906.1,363.9,250.1
Dec-21,Edmonton,677.4,438.5,154.9
Dec-21,Ottawa,692.7,413.8,167.9
Mar-22,All,680.4,382.0,178.7
Mar-22,Retail,600.2,368.6,163.4
Mar-22,Office,621.8,402.2,155.0
Mar-22,Industrial,"1,090.2",425.4,257.4
Mar-22,Residential,711.8,320.2,223.0
Mar-22,Calgary,526.1,413.5,127.5
Mar-22,Montreal,578.8,379.7,152.8
Mar-22,Toronto,759.0,360.3,211.4
Mar-22,Vancouver,900.1,360.2,251.0
Mar-22,Edmonton,681.1,435.7,156.8
Mar-22,Ottawa,659.0,408.8,161.7
Jun-22,All,673.6,378.4,178.6
Jun-22,Retail,589.4,365.5,161.8
Jun-22,Office,603.7,399.0,151.7
Jun-22,Industrial,"1,114.6",419.6,266.8
Jun-22,Residential,705.7,316.8,223.5
Jun-22,Calgary,520.6,411.8,126.6
Jun-22,Montreal,577.2,374.9,154.3
Jun-22,Toronto,749.6,356.9,210.8
Jun-22,Vancouver,894.7,356.5,252.1
Jun-22,Edmonton,675.2,432.8,156.5
Jun-22,Ottawa,637.5,404.8,157.9
Sep-22,All,659.6,374.5,176.6
Sep-22,Retail,569.4,362.3,157.6
Sep-22,Office,587.9,395.6,149.0
Sep-22,Industrial,"1,122.5",413.9,272.4
Sep-22,Residential,695.1,313.2,222.7
Sep-22,Calgary,514.0,410.0,125.6
Sep-22,Montreal,564.0,369.5,153.0
Sep-22,Toronto,736.6,353.2,209.2
Sep-22,Vancouver,885.2,353.2,251.7
Sep-22,Edmonton,654.4,428.9,153.0
Sep-22,Ottawa,615.2,400.9,153.9
Dec-22,All,692.4,402.7,172.4
Dec-22,Retail,582.2,390.4,149.6
Dec-22,Office,597.6,425.5,140.7
Dec-22,Industrial,"1,239.9",446.4,279.0
Dec-22,Residential,753.9,334.2,226.4
Dec-22,Calgary,536.1,441.9,121.5
Dec-22,Montreal,595.0,400.9,148.8
Dec-22,Toronto,763.7,378.1,202.6
Dec-22,Vancouver,916.5,378.6,243.1
Dec-22,Edmonton,694.0,462.4,150.5
Dec-22,Ottawa,674.6,431.7,156.7
Mar-23,All,679.3,399.0,170.8
Mar-23,Retail,576.7,387.4,149.3
Mar-23,Office,578.4,422.4,137.2
Mar-23,Industrial,"1,218.6",440.3,278.0
Mar-23,Residential,741.0,330.9,224.7
Mar-23,Calgary,532.1,440.6,121.0
Mar-23,Montreal,582.4,395.7,147.5
Mar-23,Toronto,748.8,374.5,200.6
Mar-23,Vancouver,901.1,374.9,241.3
Mar-23,Edmonton,696.7,460.0,151.9
Mar-23,Ottawa,632.5,426.7,148.6
Jun-23,All,668.4,395.4,169.5
Jun-23,Retail,571.2,384.5,149.0
Jun-23,Office,563.5,419.6,134.5
Jun-23,Industrial,"1,195.8",434.4,276.5
Jun-23,Residential,730.4,327.5,223.8
Jun-23,Calgary,529.1,439.1,120.7
Jun-23,Montreal,569.6,390.9,146.0
Jun-23,Toronto,735.7,371.2,198.8
Jun-23,Vancouver,889.3,371.4,240.5
Jun-23,Edmonton,683.5,457.0,150.0
Jun-23,Ottawa,619.2,422.7,146.8
Sep-23,All,649.6,391.8,166.3
Sep-23,Retail,555.5,381.8,145.9
Sep-23,Office,545.3,416.4,131.2
Sep-23,Industrial,"1,166.1",428.9,273.1
Sep-23,Residential,718.0,323.9,222.4
Sep-23,Calgary,521.8,437.0,119.6
Sep-23,Montreal,550.3,385.9,142.9
Sep-23,Toronto,714.6,368.0,194.8
Sep-23,Vancouver,880.6,368.1,240.2
Sep-23,Edmonton,659.7,453.2,146.0
Sep-23,Ottawa,591.9,418.5,141.7
